Code,Site,Reg,Lat,Lon,PopEstADPE,PopEstCHPE,PopEstGEPE,PopEstPygo,PopEstANSH,Comments
ACUN,Acuna Island,South Orkney Islands,-60.7612,-44.637,1771.794957,4000,0,5771.794957,0,
AILS,Ailsa Craig,South Orkney Islands,-60.78,-44.631,0,6000,0,6000,0,
AITK,Aitken Cove,South Orkney Islands,-60.738,-44.525,0,3300,0,3300,0,
ALCO,Alcock Island,Central-west Antarctic Peninsula,-64.24,-61.127,0,1101.574169,0,1101.574169,0,
AMBU,Ambush Bay,Northeast Antarctic Peninsula,-63.184,-55.393,20462.28753,0,0,20462.28753,0,
AMPH,Amphibolite Point,South Orkney Islands,-60.684,-45.339,4651.675137,4000,0,8651.675137,0,
ANCH,Anchorage Island,Southwest Antarctic Peninsula,-67.6042,-68.2089,0,0,0,0,0,
ANDR,Andresen Island Site 1,Southwest Antarctic Peninsula,-66.879,-66.649,1181.774288,0,0,1181.774288,0,
ANDI,Andresen Island Site 2,Southwest Antarctic Peninsula,-66.875,-66.711,360.5285099,0,0,360.5285099,0,
ANVS,Anvers Island South West (7 km south of Gerlache Island),Central-west Antarctic Peninsula,-64.66,-64.25,0,2,0,2,0,
ARDL,Ardley Island,South Shetland Islands,-62.213,-58.933,257.2623824,13.3018777,4635,4905.56426,0,
ARMS,Armstrong Reef,Southwest Antarctic Peninsula,-65.8919,-66.2117,2740.025617,0.958270419,0,2740.983888,0,
ASPL,Aspland Island,Elephant Island,-61.468,-55.894,0,8650,0,8650,0,
ASTR,Astrolabe Island,Northwest Antarctic Peninsula,-63.316,-58.683,0,3400,0,3400,0,
AVIA,Avian Island,Southwest Antarctic Peninsula,-67.7732,-68.8855,57013.68164,0,0,57013.68164,0,
BACH,Bach Quartet,South Shetland Islands,-61.921,-58.028,0,230,0,230,0,
BAIL,Baily Head (Deception Island),South Shetland Islands,-62.965,-60.506,0,42914.93454,0,42914.93454,0,
BARC,Barcroft Islands,Southwest Antarctic Peninsula,-66.4575,-67.1397,209.0644511,0,0,209.0644511,0,
BARN,Barnard Point (Livingston Island),South Shetland Islands,-62.758,-60.338,0,13000,600,13600,0,
AITC,Barrientos Island (Aitcho Islands),South Shetland Islands,-62.4071,-59.7517,0,3392.575798,1941.21001,5333.785807,0,
BART,Barton Peninsula,South Shetland Islands,-62.224,-58.791,0,2888.936143,3006.932468,5895.868611,0,
BEAG,Beagle Island,Northeast Antarctic Peninsula,-63.4139,-54.6675,246817.5054,0,0,246817.5054,0,
BEAV,Beaver Rocks,Northwest Antarctic Peninsula,-63.679,-59.362,0,100,0,100,0,
BELI,Bell Island,Central-west Antarctic Peninsula,-64.2782,-61.9976,0,25,0,25,0,
BELL,Bell Point,South Shetland Islands,-62.119,-58.889,0,3274,0,3274,0,
BENE,Beneden Head,Central-west Antarctic Peninsula,-64.7671,-62.701,0,0,1394.212899,1394.212899,0,
BERN,Bernardo O'Higgins Station,Northwest Antarctic Peninsula,-63.3209,-57.9,0,0,0,0,0,
BERT,Berthelot Islands (excl. Green Island),Central-west Antarctic Peninsula,-65.333,-64.112,288.424064,0,0,288.424064,0,
BISC,Biscoe Point,Central-west Antarctic Peninsula,-64.8114,-63.7775,485.4984496,0,3945.577863,4431.076313,0,
BLAK,Blake Island,Northwest Antarctic Peninsula,-63.649,-59.0303,0,10,0,10,0,
BONG,Bongrain Point (Pourquoi Pas Island),Southwest Antarctic Peninsula,-67.7233,-67.7319,2507.296344,0,0,2507.296344,0,
BOYE,Boyer Rocks,Northwest Antarctic Peninsula,-63.58295,-59.0371,0,235,0,235,0,
BRAS,Brash Island,Northeast Antarctic Peninsula,-63.386389,-54.914167,82610.17857,0,2270,84880.17857,0,
BRIM,Brimstone Peak,South Shetland Islands,-61.912407,-57.752451,0,13020,0,13020,0,
BRPW,Brimstone Peak (west),South Shetland Islands,-61.918323,-57.7633,0,4130,0,4130,0,
BRIT,Brittannia's Figleaf,Elephant Island,-61.278,-55.213,0,2869,396,3265,0,
BRIW,Brittannia's Figleaf West,Elephant Island,-61.278,-55.241,0,11555,0,11555,0,
BROW,Brown Bluff,Northeast Antarctic Peninsula,-63.5222,-56.905,18647.65131,0,842.0746989,19489.72601,0,
ALMI,Brown Station,Central-west Antarctic Peninsula,-64.895556,-62.870278,0,0,218.273442,218.273442,0,
BRUC,Bruce Islands,South Orkney Islands,-60.683,-44.924,0,5000,0,5000,0,
BRYE,Bryde Island East,Central-west Antarctic Peninsula,-64.889722,-62.927222,0,0,598.9496293,598.9496293,0,
BRYS,Bryde Island South,Central-west Antarctic Peninsula,-64.901111,-62.950833,0,0,841.3231244,841.3231244,0,
BUCH,Buchanan Point,South Orkney Islands,-60.691,-44.465,0,6500,0,6500,0,
BUSK,Buskin Rocks,Elephant Island,-61.057,-55.149,0,400,0,400,0,
BYER,Byers Peninsula,South Shetland Islands,-62.633,-61.066,0,3,0,3,103.333,Combined two sites (NE and W)
BYEW,Byewater Point,South Shetland Islands,-62.7528,-61.5021,0,466.6666667,0,466.6666667,0,
BPTS,Byewater Point (south),South Shetland Islands,-62.774695,-61.526269,0,1666.666667,0,1666.666667,0,
ANDE,Cape Anderson,South Orkney Islands,-60.757,-44.601,0,100,0,100,0,
BELS,Cape Belsham,Elephant Island,-61.096,-54.883,0,7000,0,7000,0,
BENN,Cape Bennett,South Orkney Islands,-60.62,-45.236,0,7250,0,7250,0,
BOWL,Cape Bowles,Elephant Island,-61.316,-54.091,283.5915966,33000,0,33283.5916,0,
CONW,Cape Conway,South Shetland Islands,-62.8415,-61.4224,0,266.6666667,400,666.6666667,0,
CCOE,Cape Conway (east),South Shetland Islands,-62.838,-61.424,0,1666.666667,0,1666.666667,0,
EVEN,Cape Evensen (mainland),Southwest Antarctic Peninsula,-66.164,-65.683,162.1545056,0,0,162.1545056,0,
EVER,Cape Evensen (offshore rocks),Southwest Antarctic Peninsula,-66.157904,-65.720454,204.1852848,0,0,204.1852848,0,
GARY,Cape Garry,South Shetland Islands,-63.361,-62.258,0,133333.3333,0,133333.3333,0,
GEDD,Cape Geddes,South Orkney Islands,-60.685,-44.59,0,5000,0,5000,0,
HANS,"Cape Hansen, Coronation Island",South Orkney Islands,-60.659,-45.584,6034.909371,0,0,6034.909371,0,
CHNE,Cape Herschel (northeast),Central-west Antarctic Peninsula,-64.042,-60.986,0,450,0,450,0,
CHSE,Cape Herschel (southeast),Central-west Antarctic Peninsula,-64.078,-61.033,0,655.3643098,0,655.3643098,0,
HOOK,Cape Hooker,South Shetland Islands,-63.334,-61.963,0,11666.66667,0,11666.66667,0,
HORS,Cape Hooker Rock (south),South Shetland Islands,-63.345,-61.982,0,3000,0,3000,0,
JAME,Cape James,South Shetland Islands,-63.0903,-62.6979,0,6666.666667,0,6666.666667,0,
KATE,Cape Kater,Northwest Antarctic Peninsula,-63.7742,-59.8471,0,0,0,0,0,
KJEL,Cape Kjellman,Northwest Antarctic Peninsula,-63.7249,-59.4145,0,0,0,0,0,
LEGU,Cape Leguillou,Northwest Antarctic Peninsula,-63.5427,-59.843,0,0,6,6,0,
CLIN,Cape Lindsey,Elephant Island,-61.107,-55.48,0,710,0,710,0,
LLOY,Cape Lloyd,Elephant Island,-61.1298,-54.0103,0,100,0,100,0,
LOOK,Cape Lookout,Elephant Island,-61.278,-55.205,0,3284.189546,221.1943213,3505.383867,0,
CMEL,Cape Melville,South Shetland Islands,-62.022,-57.58,0,9970,0,9970,0,
MONA,Cape Monaco,Central-west Antarctic Peninsula,-64.717138,-64.278164,0,0,633.3333333,633.3333333,0,
CMUR,Cape Murray,Central-west Antarctic Peninsula,-64.3663,-61.6206,0,0,0,0,0,
CROB,Cape Robertson,South Orkney Islands,-60.714,-44.84,0,32000,0,32000,0,
ROCA,Cape Roca,South Orkney Islands,-60.75,-44.8167,0,4200,0,4200,181,"Marked as ""Islet off of Cape Davidson"" in shag paper"
ROQU,Cape Roquemaurel,Northwest Antarctic Peninsula,-63.5486,-58.9652,0,800,0,800,0,
SHIR,Cape Shirreff,South Shetland Islands,-62.4575,-60.7874,0,3424.074539,1251.85968,4675.934219,0,
SMIT,Cape Smith,South Shetland Islands,-62.8738,-62.3,0,3000,0,3000,0,
TUXE,Cape Tuxen,Central-west Antarctic Peninsula,-65.2667,-64.1178,0,0,342.8466573,342.8466573,0,
