"","N_1979","D_1979","J_1979","F_1979","N_1980","D_1980","J_1980","F_1980","N_1981","D_1981","J_1981","F_1981","N_1982","D_1982","J_1982","F_1982","N_1983","D_1983","J_1983","F_1983","N_1984","D_1984","J_1984","F_1984","N_1985","D_1985","J_1985","F_1985","N_1986","D_1986","J_1986","F_1986","N_1987","D_1987","J_1987","F_1987","N_1988","D_1988","J_1988","F_1988","N_1989","D_1989","J_1989","F_1989","N_1990","D_1990","J_1990","F_1990","N_1991","D_1991","J_1991","F_1991","N_1992","D_1992","J_1992","F_1992","N_1993","D_1993","J_1993","F_1993","N_1994","D_1994","J_1994","F_1994","N_1995","D_1995","J_1995","F_1995","N_1996","D_1996","J_1996","F_1996","N_1997","D_1997","J_1997","F_1997","N_1998","D_1998","J_1998","F_1998","N_1999","D_1999","J_1999","F_1999","N_2000","D_2000","J_2000","F_2000","N_2001","D_2001","J_2001","F_2001","N_2002","D_2002","J_2002","F_2002","N_2003","D_2003","J_2003","F_2003","N_2004","D_2004","J_2004","F_2004","N_2005","D_2005","J_2005","F_2005","N_2006","D_2006","J_2006","F_2006","N_2007","D_2007","J_2007","F_2007","N_2008","D_2008","J_2008","F_2008","N_2009","D_2009","J_2009","F_2009","N_2010","D_2010","J_2010","F_2010","N_2011","D_2011","J_2011","F_2011","N_2012","D_2012","J_2012","F_2012","N_2013","D_2013","J_2013","F_2013","N_2014","D_2014","J_2014","F_2014","N_2015","D_2015","J_2015","F_2015","N_2016","D_2016","J_2016","F_2016","N_2017","D_2017","J_2017","F_2017","N_2018","D_2018","J_2018","F_2018","N_2019","D_2019","J_2019","F_2019"
"ACUN",256.612665653229,324.59132194519,210.40590763092,309.406735897064,241.737155914307,296.458189487457,278.49511384964,260.964624881744,218.281452655792,292.857055664062,283.568866252899,264.250459671021,275.016782283783,293.433773517609,237.736372947693,3.71164921671152,44.5699399709702,258.875527381897,300.690693855286,270.612723827362,226.585378646851,259.867300987244,276.953337192535,240.72381734848,275.910172462463,250.813708305359,246.754260063171,276.011624336243,268.30587387085,322.958629131317,261.731071472168,288.798251152039,267.378709316254,273.93492937088,281.550214290619,281.274290084839,161.925956010818,278.542277812958,230.160291194916,329.495236873627,230.884895324707,282.096376419067,279.986100196838,126.828521490097,49.5133155584335,262.631928920746,298.010094165802,240.108325481415,289.668552875519,267.707977294922,269.859688282013,134.037162065506,268.258044719696,266.838490962982,268.380997180939,303.63254070282,76.5398061275482,243.278889656067,279.955887794495,238.403041362762,270.707008838654,300.526306629181,294.799661636353,273.953082561493,271.350631713867,269.402596950531,274.734914302826,261.643245220184,290.877778530121,293.102123737335,292.669215202332,275.041093826294,307.958707809448,250.699317455292,224.874494075775,218.785729408264,272.953519821167,244.202749729156,281.549956798553,266.59960269928,274.06919002533,301.334981918335,278.279979228973,294.344973564148,279.430346488953,279.330675601959,224.342751502991,60.856152176857,316.591944694519,27.4234762787819,292.753415107727,295.668375492096,295.929000377655,272.965643405914,209.635813236237,278.548994064331,105.851619243622,300.145304203033,242.926318645477,217.986023426056,277.981116771698,255.838086605072,266.95522069931,285.647835731506,281.71112537384,266.796133518219,228.921883106232,220.295469760895,273.438441753387,261.663780212402,277.747657299042,308.385865688324,237.394037246704,287.383804321289,219.295799732208,277.97070980072,270.934438705444,277.028117179871,270.217688083649,274.53902721405,291.617767810822,268.840942382812,282.043719291687,278.779599666595,42.0312130451202,101.921710968018,298.648245334625,297.26877450943,262.37802028656,284.160046577454,299.369287490845,275.013842582703,265.434794425964,269.916143417358,268.456270694733,232.747850418091,263.000121116638,256.653134822845,284.285659790039,232.662491798401,112.071340084076,257.963705062866,289.742302894592,261.384251117706,246.633710861206,263.351812362671,287.774333953857,281.049113273621,237.010309696198,266.822762489319,275.551421642303,172.633870840073,287.022950649261,269.545333385468,253.174631595612,278.770008087158,294.200220108032,272.743492126465,278.632764816284,279.655630588531,247.079944610596,196.812407970428,294.463291168213,228.780970573425
"AILS",256.612665653229,324.59132194519,210.40590763092,309.406735897064,241.737155914307,296.458189487457,278.49511384964,260.964624881744,218.281452655792,292.857055664062,283.568866252899,264.250459671021,275.016782283783,293.433773517609,237.736372947693,3.71164921671152,44.5699399709702,258.875527381897,300.690693855286,270.612723827362,226.585378646851,259.867300987244,276.953337192535,240.72381734848,275.910172462463,250.813708305359,246.754260063171,276.011624336243,268.30587387085,322.958629131317,261.731071472168,288.798251152039,267.378709316254,273.93492937088,281.550214290619,281.274290084839,161.925956010818,278.542277812958,230.160291194916,329.495236873627,230.884895324707,282.096376419067,279.986100196838,126.828521490097,49.5133155584335,262.631928920746,298.010094165802,240.108325481415,289.668552875519,267.707977294922,269.859688282013,134.037162065506,268.258044719696,266.838490962982,268.380997180939,303.63254070282,76.5398061275482,243.278889656067,279.955887794495,238.403041362762,270.707008838654,300.526306629181,294.799661636353,273.953082561493,271.350631713867,269.402596950531,274.734914302826,261.643245220184,290.877778530121,293.102123737335,292.669215202332,275.041093826294,307.958707809448,250.699317455292,224.874494075775,218.785729408264,272.953519821167,244.202749729156,281.549956798553,266.59960269928,274.06919002533,301.334981918335,278.279979228973,294.344973564148,279.430346488953,279.330675601959,224.342751502991,60.856152176857,316.591944694519,27.4234762787819,292.753415107727,295.668375492096,295.929000377655,272.965643405914,209.635813236237,278.548994064331,105.851619243622,300.145304203033,242.926318645477,217.986023426056,277.981116771698,255.838086605072,266.95522069931,285.647835731506,281.71112537384,266.796133518219,228.921883106232,220.295469760895,273.438441753387,261.663780212402,277.747657299042,308.385865688324,237.394037246704,287.383804321289,219.295799732208,277.97070980072,270.934438705444,277.028117179871,270.217688083649,274.53902721405,291.617767810822,268.840942382812,282.043719291687,278.779599666595,42.0312130451202,101.921710968018,298.648245334625,297.26877450943,262.37802028656,284.160046577454,299.369287490845,275.013842582703,265.434794425964,269.916143417358,268.456270694733,232.747850418091,263.000121116638,256.653134822845,284.285659790039,232.662491798401,112.071340084076,257.963705062866,289.742302894592,261.384251117706,246.633710861206,263.351812362671,287.774333953857,281.049113273621,237.010309696198,266.822762489319,275.551421642303,172.633870840073,287.022950649261,269.545333385468,253.174631595612,278.770008087158,294.200220108032,272.743492126465,278.632764816284,279.655630588531,247.079944610596,196.812407970428,294.463291168213,228.780970573425
"AITC",293.090193271637,322.867584228516,255.052542686462,351.412317752838,304.967873096466,21.0027104616165,343.910222053528,279.049365520477,298.865933418274,297.721209526062,295.929622650146,273.988509178162,307.992889881134,291.730871200562,261.898548603058,38.1976175308228,350.331666469574,247.557678222656,319.439077377319,273.038942813873,59.608935713768,329.64462518692,269.342558383942,278.713252544403,1.89895536750555,27.1596622467041,264.213423728943,270.42720079422,43.1651464104652,6.37262620031834,264.857883453369,285.696823596954,348.871579170227,283.186898231506,286.234595775604,296.014788150787,60.7735133171082,287.258598804474,29.455252289772,13.7545649707317,289.338233470917,313.794872760773,291.345405578613,62.0644444227219,93.5347545146942,282.520487308502,285.839989185333,272.55095243454,299.697268009186,17.8439909219742,295.940115451813,74.7632074356079,307.377805709839,283.878993988037,269.696223735809,322.902281284332,64.4913876056671,273.856201171875,315.607767105103,278.644094467163,278.141191005707,291.307747364044,334.453783035278,275.864660739899,309.059722423553,280.981628894806,277.296960353851,279.888210296631,303.216454982758,298.090260028839,300.269136428833,286.77992105484,322.501516342163,311.359856128693,31.820906996727,325.565693378448,296.336352825165,260.541200637817,280.798616409302,271.905462741852,287.00389623642,307.018368244171,291.526765823364,279.031534194946,280.290756225586,274.088609218597,291.019592285156,56.9940823316574,42.8309458494186,118.278980255127,301.551532745361,293.187997341156,288.340344429016,285.328352451324,283.210501670837,326.525237560272,49.8477280139923,335.441522598267,277.399141788483,91.4551413059235,300.612459182739,267.568652629852,286.065638065338,313.226759433746,293.6576628685,278.166532516479,245.48995256424,249.662053585052,273.071665763855,295.276086330414,276.688656806946,339.210734367371,243.034250736237,288.854212760925,330.611336231232,279.499139785767,277.697296142578,291.579637527466,304.153661727905,263.87316942215,301.337513923645,284.196224212646,270.85146188736,304.198229312897,60.739454627037,133.45502614975,301.827435493469,58.5595536231995,320.16569852829,298.054511547089,320.087034702301,284.345719814301,261.50801897049,281.441595554352,276.688978672028,238.35077047348,253.858230113983,270.081174373627,275.946049690247,244.304802417755,55.8850318193436,280.233507156372,316.694812774658,256.371653079987,276.653444766998,286.216721534729,289.096577167511,264.50865983963,263.835554122925,286.859464645386,280.670599937439,59.8763144016266,24.7390222549438,326.583151817322,264.698367118835,300.723674297333,285.192160606384,293.841683864594,290.102427005768,278.872725963593,335.936164855957,254.596309661865,278.800928592682,61.2158578634262
"AITK",255.573170185089,326.289267539978,207.852573394775,304.882535934448,240.731370449066,298.459160327911,279.179635047913,260.737988948822,214.91738319397,293.108024597168,283.46559047699,264.388110637665,274.376657009125,293.566317558289,237.372193336487,4.06891945749521,50.2873206138611,259.925429821014,300.936019420624,269.330842494965,227.028844356537,259.230780601501,277.186689376831,237.419443130493,274.867544174194,250.887801647186,245.691075325012,276.674516201019,268.561928272247,325.650086402893,262.02362537384,290.280869007111,266.126804351807,274.368438720703,281.701598167419,281.844828128815,161.956232786179,278.565108776093,229.754612445831,330.891637802124,229.978759288788,281.538691520691,280.138192176819,126.543799638748,50.2236181497574,261.870675086975,298.452551364899,239.744961261749,289.715201854706,267.266550064087,270.007853507996,134.889267683029,267.886097431183,267.27397441864,267.849984169006,303.389639854431,76.7861670255661,242.437705993652,279.83626127243,236.775369644165,271.609926223755,299.743316173553,295.061917304993,273.8534116745,270.351326465607,269.066333770752,275.295302867889,261.644554138184,290.833704471588,293.063585758209,293.11371088028,273.946323394775,308.553042411804,250.729315280914,224.478857517242,217.539510726929,273.598709106445,243.956565856934,281.787300109863,266.603486537933,273.348469734192,301.328887939453,278.117587566376,294.741532802582,279.641597270966,279.15105342865,222.646286487579,63.2374066114426,316.459014415741,29.5576617121696,292.937693595886,295.974318981171,296.1949467659,271.811156272888,207.654325962067,276.822123527527,104.815535545349,300.49633026123,243.17816734314,218.075888156891,277.649080753326,254.700422286987,266.600117683411,284.143717288971,283.395509719849,266.354448795319,228.572595119476,220.4794049263,274.065477848053,261.019620895386,277.935197353363,309.573569297791,236.287744045258,287.571387290955,218.725218772888,277.973992824554,270.715312957764,276.74064874649,270.381925106049,274.960799217224,291.747243404388,268.426444530487,282.920114994049,278.632872104645,56.1917102336884,101.833230257034,298.913376331329,297.517189979553,262.923023700714,283.966069221497,299.435591697693,274.981205463409,265.340981483459,269.971804618835,268.262615203857,232.725448608398,263.132772445679,255.533902645111,284.633123874664,231.897847652435,113.477354049683,257.767195701599,289.9245429039,260.915508270264,245.422253608704,263.283383846283,288.030023574829,281.778309345245,236.246888637543,266.802656650543,276.309821605682,171.780209541321,287.86052942276,269.016723632812,252.81626701355,278.708317279816,294.664542675018,272.565178871155,278.544638156891,279.892694950104,246.337852478027,195.868270397186,294.878754615784,228.280062675476
"ALCO",84.3803697824478,76.8128228187561,131.742564439774,64.2673534154892,92.4416148662567,99.3373811244965,118.025726079941,77.9885476827621,102.605245113373,56.3729685544968,53.522515296936,121.898320913315,72.5260144472122,77.6878988742828,133.002880811691,71.6685497760773,74.0730375051498,141.598620414734,60.6287330389023,162.445811033249,108.824161291122,88.5736602544785,124.164905548096,102.473419904709,73.8078314065933,106.175791025162,144.397698640823,126.909073591232,109.848808050156,114.537191390991,154.043555259705,103.503205776215,63.668839931488,86.9821339845657,29.2208138108253,54.8335897922516,98.9554882049561,39.689467549324,74.6702206134796,84.9894404411316,69.6213376522064,60.3431850671768,101.340883970261,85.8635187149048,100.217767953873,68.3260667324066,78.5684734582901,118.831826448441,36.7707708477974,90.5620193481445,23.719662129879,80.089972615242,64.8852002620697,108.659226894379,259.437203407288,55.4778134822845,95.4336833953857,116.871120929718,46.8476235866547,90.9672045707703,99.0103876590729,89.6440333127975,72.216557264328,61.3970839977264,53.9553648233414,58.3505290746689,111.167306900024,84.2236644029617,64.0083914995193,58.261393904686,63.4467315673828,107.556463479996,65.5726182460785,87.5762647390366,120.013275146484,91.0572195053101,99.8549938201904,167.221966981888,60.7742804288864,131.23265504837,45.3175628185272,63.3690816164017,40.806111395359,54.6963357925415,51.0007452964783,87.5886029005051,115.682655572891,105.129235982895,84.6466487646103,120.749047994614,38.7134090065956,11.9476962089539,65.0699293613434,30.9224581718445,107.585216760635,43.9171358942986,77.6654756069183,76.2686669826508,108.88600230217,112.329540252686,93.5649561882019,108.329787254333,56.9240069389343,110.656206607819,108.674257993698,349.282686710358,164.103362560272,140.194956064224,129.900315999985,102.832256555557,93.3398330211639,78.5171681642532,170.976458787918,115.716912746429,104.37553524971,93.1263184547424,96.3322877883911,64.7938603162766,55.4523485898972,260.754296779633,55.2472400665283,103.222754001617,136.609046459198,51.0291123390198,73.3001053333282,137.313587665558,32.0732009410858,109.496537446976,98.8073229789734,40.5751812458038,43.0112493038177,20.017631649971,228.018279075623,88.69784116745,100.485763549805,150.037000179291,130.753054618835,118.954875469208,70.7632827758789,161.109094619751,60.2161127328873,99.7303783893585,103.709918260574,187.126693725586,40.0389057397842,57.1015799045563,71.5551728010178,205.179097652435,108.2055580616,121.10968708992,106.926444768906,107.922767400742,101.146456003189,84.9342834949493,138.632590770721,85.432026386261,77.321965098381,70.2963799238205,53.0416435003281,6.86130054295063,87.4808102846146,126.628299951553,121.367093324661,96.949120759964
"ALMI",60.2808451652527,85.9809190034866,128.786051273346,63.6589479446411,96.3897514343262,92.6847946643829,127.343602180481,305.754017829895,103.979587554932,65.4024052619934,49.8623889684677,33.8030299544334,56.2610077857971,78.2454603910446,168.636993169785,76.8277788162231,76.1645650863647,154.287936687469,77.702345252037,330.399463176727,108.747879266739,100.03978729248,123.111248016357,90.9339451789856,72.5898832082748,99.4460213184357,240.076332092285,115.564187765121,105.496430397034,108.6126101017,177.456965446472,91.8294382095337,72.3101717233658,81.7657363414764,18.6110571026802,44.3421480059624,87.6815414428711,46.8178939819336,94.4009792804718,97.9377293586731,62.014040350914,52.9805964231491,113.069314956665,88.9963281154633,107.511606216431,25.8300670981407,131.138659715652,103.653151988983,37.5736311078072,94.3905508518219,28.498167693615,98.8140177726746,75.9419202804565,122.797837257385,296.778080463409,43.3476600050926,96.364141702652,167.793384790421,51.6651982069016,97.4498891830444,105.26740193367,99.8749816417694,74.3836534023285,310.756101608276,50.4491060972214,24.7754117846489,116.484131813049,30.3930142521858,63.8095164299011,57.80717253685,73.9622193574905,112.114856243134,66.6536343097687,90.4917454719543,126.502922773361,78.2916051149368,98.0631387233734,233.221957683563,83.363179564476,125.405770540237,30.9821748733521,67.8203898668289,36.0276219248772,320.710186958313,28.9865094423294,356.232633590698,129.071159362793,102.372354269028,89.3150871992111,111.1498939991,54.3608826398849,359.121758937836,62.0193725824356,359.009749889374,134.713969230652,50.4713201522827,80.4315572977066,75.6581103801727,115.474805831909,124.225780963898,88.6593300104141,329.228196144104,36.1255869269371,97.4045813083649,112.318907976151,332.688417434692,212.397973537445,114.988456964493,206.555564403534,98.3678805828094,130.990129709244,85.1771521568298,220.820260047913,109.113786220551,120.957165956497,5.68470798432827,57.4306762218475,59.4532603025436,71.3310581445694,267.385532855988,62.4908673763275,97.0516777038574,131.302907466888,55.5269730091095,85.7304489612579,146.28964304924,38.5246539115906,107.824598550797,101.777257919312,42.7914717793465,57.5098603963852,20.767040848732,259.665019512177,91.9799530506134,112.999277114868,167.389529943466,121.842670440674,145.303094387054,69.067799448967,182.318780422211,93.0978119373322,92.6934957504272,110.374671220779,201.852729320526,340.439465045929,63.6555415391922,78.5710322856903,223.326902389526,262.812237739563,108.166644573212,103.696936368942,115.415421724319,97.4682033061981,89.8491793870926,236.948854923248,88.6480915546417,81.2639379501343,71.4970117807388,57.0533162355423,29.7690036892891,99.5587706565857,142.845525741577,178.469059467316,105.910767316818
"AMBU",289.494488239288,303.80042552948,226.851968765259,348.32533121109,278.649995326996,214.790654182434,198.316977024078,290.762658119202,270.667805671692,313.77772808075,289.338018894196,267.396154403687,302.733657360077,302.669906616211,226.757318973541,22.3819211125374,329.748673439026,240.478277206421,303.904731273651,283.860626220703,195.868570804596,290.99613904953,261.546149253845,249.965100288391,323.367998600006,206.469025611877,277.556340694427,259.635171890259,184.424657821655,205.854349136353,248.642234802246,275.893135070801,311.776821613312,283.152115345001,289.055550098419,305.788307189941,132.998138666153,302.849035263062,161.393977403641,289.405202865601,266.696140766144,314.901187419891,285.847070217133,46.5853840112686,58.7949228286743,281.217019557953,297.710652351379,240.258936882019,305.551328659058,236.440093517303,288.633971214294,102.271192073822,303.993372917175,243.374805450439,289.388680458069,316.93966627121,115.006985664368,269.969444274902,297.740585803986,284.150862693787,254.262278079987,310.728249549866,304.709737300873,286.166446208954,304.426259994507,293.66950750351,245.747208595276,271.775772571564,324.495213031769,301.895606517792,292.012696266174,312.643904685974,320.504236221313,254.612123966217,195.924017429352,286.211335659027,292.494335174561,256.092875003815,292.058229446411,274.137854576111,301.563720703125,322.463150024414,295.979082584381,300.335311889648,289.789338111877,291.842021942139,269.723024368286,52.7505218982697,350.42751789093,174.007022380829,302.832770347595,302.574806213379,299.949202537537,304.097678661346,249.051218032837,316.729016304016,111.758315563202,312.576420307159,215.484895706177,182.929251194,293.619253635406,280.137205123901,287.774140834808,303.339493274689,265.47180891037,294.425053596497,242.413372993469,218.830425739288,276.20459318161,275.996603965759,282.886426448822,280.601420402527,213.211262226105,261.477162837982,247.963399887085,289.547982215881,279.575164318085,303.829672336578,269.777805805206,273.303773403168,308.584628105164,265.604116916656,233.921692371368,270.715699195862,50.5804216861725,138.988691568375,303.426203727722,175.637032985687,213.08210849762,303.403522968292,304.345922470093,283.502669334412,274.835615158081,258.554906845093,248.985579013824,215.961105823517,213.32451581955,259.107484817505,273.546566963196,205.16122341156,39.0200525522232,242.179055213928,233.420054912567,255.313618183136,275.228397846222,278.6953997612,276.313447952271,275.220737457275,263.16933631897,258.707234859467,252.793779373169,169.740518331528,232.649295330048,283.786833286285,254.739775657654,276.831822395325,279.046833515167,286.483247280121,286.058986186981,287.494912147522,202.191052436829,202.659366130829,276.782598495483,190.130703449249
"AMPH",260.332567691803,324.34850692749,216.475296020508,324.173798561096,244.956214427948,295.437211990356,277.76070356369,262.141578197479,224.91382598877,293.819839954376,284.860746860504,264.576444625854,278.513245582581,294.258992671967,238.710272312164,4.64895118027925,30.5710405111313,256.741089820862,300.959000587463,275.283544063568,225.2104139328,262.907466888428,277.1098279953,248.43540430069,281.10095500946,250.983417034149,250.213000774384,275.369718074799,268.30668926239,316.794762611389,261.861834526062,286.726276874542,275.532217025757,274.395518302917,281.770648956299,281.693122386932,158.817061185837,279.391057491302,231.721787452698,327.473409175873,232.763729095459,285.259966850281,280.106627941132,123.235681056976,47.5415271520615,265.243456363678,297.970762252808,240.74031829834,290.674488544464,269.930477142334,270.303196907043,129.656664133072,270.699326992035,266.442854404449,270.496208667755,306.005437374115,75.3692364692688,245.749912261963,281.771013736725,242.177081108093,269.519820213318,304.38042640686,296.494989395142,275.206167697906,275.306568145752,271.22034072876,274.173045158386,262.101924419403,294.429366588593,294.745717048645,292.485558986664,279.078376293182,309.001250267029,251.215996742249,225.152328014374,220.374412536621,273.421597480774,244.672758579254,282.005717754364,267.517304420471,277.36337184906,302.511892318726,279.459099769592,294.637162685394,280.092079639435,280.888760089874,228.633577823639,56.2118428945541,319.327669143677,25.746733546257,293.207201957703,295.784568786621,296.605710983276,277.039361000061,213.54353427887,284.994449615479,107.788302898407,301.139030456543,243.224301338196,217.089285850525,280.036954879761,259.462652206421,268.412432670593,292.494571208954,279.097409248352,268.607182502747,228.749084472656,218.793926239014,273.630294799805,263.956553936005,277.827308177948,307.59379863739,239.700522422791,288.719265460968,218.929560184479,278.999562263489,272.41993188858,278.732993602753,270.720012187958,274.085025787354,292.590894699097,270.792882442474,280.585434436798,280.456280708313,31.9166189432144,101.010028123856,299.009892940521,298.498148918152,261.623890399933,285.621871948242,301.117808818817,275.88178396225,266.576707363129,270.347678661346,269.997746944427,232.873034477234,263.331899642944,260.32484292984,284.799013137817,235.051782131195,105.723227262497,259.40411567688,290.366013050079,263.176996707916,250.665264129639,264.345152378082,288.028542995453,280.4496717453,239.088313579559,267.423641681671,274.278016090393,172.937679290771,290.805616378784,272.192974090576,255.181481838226,280.210332870483,293.999783992767,274.058654308319,279.759571552277,280.044100284576,249.694948196411,198.009939193726,295.012800693512,230.209965705872
"ANCH",24.3025839328766,59.988956451416,26.9423040747643,48.3258962631226,49.8034393787384,58.979657292366,67.2157233953476,19.0775281190872,53.5759717226028,48.3900225162506,30.3345018625259,15.8909323811531,55.2889859676361,48.6104357242584,18.4679478406906,66.168492436409,51.2158852815628,44.2317938804626,49.7841972112656,23.6706393957138,83.6951941251755,73.3551603555679,42.4583387374878,50.2445662021637,52.3463022708893,68.4075897932053,7.72749111056328,49.4666880369186,81.7768943309784,73.2112008333206,17.1053199470043,28.439821600914,75.3325009346008,41.1198225617409,14.4677817821503,42.2693985700607,50.2396577596664,30.5530133843422,61.4998018741608,50.3601801395416,51.0141563415527,32.632814347744,58.2764142751694,67.1798515319824,68.3290439844131,13.1211237609386,33.8551560044289,55.5033695697784,47.1441471576691,58.6429756879807,22.6269140839577,66.1087810993195,54.4476038217545,79.5267140865326,350.038447380066,20.0168833136559,80.6777465343475,26.5775665640831,48.9670032262802,62.9965335130692,55.2487635612488,40.7340297102928,52.3845934867859,25.215956568718,38.0450212955475,45.4419904947281,42.6425555348396,26.6542616486549,53.8569062948227,34.9899369478226,41.2816965579987,60.0226020812988,61.4308315515518,52.0667195320129,32.5428691506386,46.4723771810532,62.0648682117462,358.031451702118,19.5591656863689,38.0783611536026,30.0083076953888,52.6671856641769,21.0130731761456,0.413768417201936,36.9598183035851,11.8746113777161,28.7086996436119,86.4099061489105,77.1482920646667,76.7320132255554,39.2771583795547,7.65168987214565,51.9484180212021,14.1149720549583,38.8825678825378,39.0019664168358,71.1489522457123,48.8832968473434,55.6998950242996,83.3544033765793,52.1238559484482,14.5073617994785,16.5332181751728,52.9675287008286,73.2079875469208,358.453030586243,353.326256275177,50.3458195924759,2.87709161639214,36.3057884573936,42.3264572024345,67.3808133602142,45.9445881843567,50.4899829626083,48.2823425531387,25.6724604964256,37.7989286184311,25.1178950071335,37.2789368033409,325.070321559906,53.9425867795944,58.0461841821671,72.4965208768845,50.2054649591446,78.1268155574799,70.4877609014511,22.7098050713539,85.9278112649918,71.0186773538589,38.7426960468292,44.281559586525,22.5226727128029,4.64455805718899,50.3608882427216,57.5184112787247,90.7030713558197,62.1747153997421,24.8170128464699,30.8301982283592,121.820021867752,58.961278796196,23.8309442996979,57.3366540670395,44.094985127449,35.4504212737083,40.6687232851982,32.8120931982994,57.7980262041092,17.1829417347908,21.5142318606377,42.9900223016739,68.0111700296402,74.3829452991486,49.8240333795547,10.13911485672,79.4916200637817,55.7981765270233,46.7957174777985,35.6193602085114,47.5438338518143,78.9321219921112,47.507232427597,10.2733621001244,86.9487780332565
"ANDE",255.573170185089,326.289267539978,207.852573394775,304.882535934448,240.731370449066,298.459160327911,279.179635047913,260.737988948822,214.91738319397,293.108024597168,283.46559047699,264.388110637665,274.376657009125,293.566317558289,237.372193336487,4.06891945749521,50.2873206138611,259.925429821014,300.936019420624,269.330842494965,227.028844356537,259.230780601501,277.186689376831,237.419443130493,274.867544174194,250.887801647186,245.691075325012,276.674516201019,268.561928272247,325.650086402893,262.02362537384,290.280869007111,266.126804351807,274.368438720703,281.701598167419,281.844828128815,161.956232786179,278.565108776093,229.754612445831,330.891637802124,229.978759288788,281.538691520691,280.138192176819,126.543799638748,50.2236181497574,261.870675086975,298.452551364899,239.744961261749,289.715201854706,267.266550064087,270.007853507996,134.889267683029,267.886097431183,267.27397441864,267.849984169006,303.389639854431,76.7861670255661,242.437705993652,279.83626127243,236.775369644165,271.609926223755,299.743316173553,295.061917304993,273.8534116745,270.351326465607,269.066333770752,275.295302867889,261.644554138184,290.833704471588,293.063585758209,293.11371088028,273.946323394775,308.553042411804,250.729315280914,224.478857517242,217.539510726929,273.598709106445,243.956565856934,281.787300109863,266.603486537933,273.348469734192,301.328887939453,278.117587566376,294.741532802582,279.641597270966,279.15105342865,222.646286487579,63.2374066114426,316.459014415741,29.5576617121696,292.937693595886,295.974318981171,296.1949467659,271.811156272888,207.654325962067,276.822123527527,104.815535545349,300.49633026123,243.17816734314,218.075888156891,277.649080753326,254.700422286987,266.600117683411,284.143717288971,283.395509719849,266.354448795319,228.572595119476,220.4794049263,274.065477848053,261.019620895386,277.935197353363,309.573569297791,236.287744045258,287.571387290955,218.725218772888,277.973992824554,270.715312957764,276.74064874649,270.381925106049,274.960799217224,291.747243404388,268.426444530487,282.920114994049,278.632872104645,56.1917102336884,101.833230257034,298.913376331329,297.517189979553,262.923023700714,283.966069221497,299.435591697693,274.981205463409,265.340981483459,269.971804618835,268.262615203857,232.725448608398,263.132772445679,255.533902645111,284.633123874664,231.897847652435,113.477354049683,257.767195701599,289.9245429039,260.915508270264,245.422253608704,263.283383846283,288.030023574829,281.778309345245,236.246888637543,266.802656650543,276.309821605682,171.780209541321,287.86052942276,269.016723632812,252.81626701355,278.708317279816,294.664542675018,272.565178871155,278.544638156891,279.892694950104,246.337852478027,195.868270397186,294.878754615784,228.280062675476
